Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA0400090,MOUNTAIN VILLAGE HOMEOWNER'S ASSOC,C,D1,TD,BUTTE  ,GW
CA0400091,DEL ORO WATER COMPANY - BUZZTAIL DIST.,C,D1,TD,BUTTE  ,GW
CA0400093,BAMBI INN,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400103,PG&E: PHILBROOK DAM,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400105,GRAY LODGE CHECK STATION,NC,D1,T2,BUTTE  ,GW
CA0400106,RIVER ONE RV PARK,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400111,RIVER REFLECTIONS RV & CAMPGROUND,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400117,FALLING ROCK RV PARK,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400120,BIDWELL PARK GOLF COURSE,NC,D1,TD,BUTTE  ,GW
CA0400123,HUMBOLDT HIGHLANDS MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400132,WILD GOOSE DUCK CLUB,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400133,LUNDBERG RICE PRODUCTS,NTNC,D1,TD,BUTTE  ,GW
CA0400135,DURHAM PARK,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400137,SOUTH FEATHER W&P - SLY CREEK CAMPGROUND,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400138,SOUTH FEATHER W&P - STRAWBERRY CAMPROUND,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400140,DURHAM DAYTON INDUSTRIAL PARTNERS-PRO PA,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0400141,LLANO SECO RANCHO,NTNC,D1,TD,BUTTE  ,GW
CA0400142,BOY SCOUTS OF AMERICA-CAMP LASSEN,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400143,BUTTE MEADOWS CAMP,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400144,CHERRY HILL CAMPGROUND,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400149,HUMBOLDT WOODLANDS MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400150,SUNSET MOULDING CHICO,NTNC,D1,TD,BUTTE  ,GW
CA0400151,KEEFER CREEK ESTATES,C,D1,There are no treatment plants,BUTTE  ,GW
CA0400154,TRUROOTS,NTNC,D1,T1,BUTTE  ,GW
CA0400155,BIGGERS GLEN MUTUAL WATER CO,C,D1,TD,BUTTE  ,GW
CA0400158,FRANCIS PROPERTY MANAGEMENT,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0400160,CHICO ROD & GUN CLUB,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400161,COHASSET INDUSTRIAL PARK,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0400162,PLEASANT VALLEY BAPTIST CHURCH,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0400166,CHICO EASTSIDE LITTLE LEAGUE,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0400169,GRIDLEY GRILL & CRAB SHACK,NC,NR,TD,BUTTE  ,GW
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,C,D2,T2,BUTTE  ,SW
CA0405002,DWR-MONUMENT HILL RESTROOMS,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0405003,SILVER DOLLAR FAIRGROUNDS,NTNC,D1,TD,BUTTE  ,GW
CA0409177,G & J PROPERTIES,NTNC,D1,There are no treatment plants,BUTTE  ,GW
CA0409179,L. C. HUNTING CLUB,NC,NR,There are no treatment plants,BUTTE  ,GW
CA0409181,BLUE OAK TERRACE MUTUAL,C,D1,There are no treatment plants,BUTTE  ,GW
CA0409183,SIERRA MOON WATER COMPANY,C,D1,TD,BUTTE  ,GW
CA0409184,CHICO GRANGE #486,NC,NR,There are no treatment plants,BUTTE  ,GW
