Water System No.,Water System Name,Type,Distribution System Class,Max Treatment Plant Class,Principal County Served,Primary Source Water Type
CA4090001,CALIFORNIA MENS COLONY - RW,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090002,"CITY OF SAN LUIS OBISPO, SANITATION DEPT",NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090003,EMERALD HILLS ESTATES RW,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090004,MONARCH GROVE RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090005,BAYWOOD PARK/ LOS OSOS - RWP,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090006,CYPRESS RIDGE DEVELOPMENT RW,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090007,PISMO RANCH RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090008,SAN LUIS OBISPO CSA NO. 18,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090009,WOODLANDS DEVELOPMENT RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090010,LOS OSOS CSD - WWTP,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090011,STRASBAUGH RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090012,FIERO LANE RECYCLED WATER COMPANY,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090013,AVILA BEACH CSD - RW,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090014,SAN SIMEON RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090015,CAMBRIA CSD - RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090016,MORRO BAY RECYCLED WATER SYSTEM,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090017,CITY OF PASO ROBLES RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090018,CITY OF PISMO BEACH RECYCLED WATER,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4090019,CAYUCOS SANITARY DISTRICT,NP,,There are no treatment plants,SAN LUIS OBISPO  ,
CA4100502,UC ELKUS RANCH,NC,D1,T2,SAN MATEO  ,SW
CA4100503,BUTANO CANYON MUTUAL,C,D1,T2,SAN MATEO  ,SW
CA4100509,COUNTY SERVICE AREA 7,C,D1,T2,SAN MATEO  ,SW
CA4100510,REDWOOD TERRACE MUTUAL,C,D1,T1,SAN MATEO  ,GU
CA4100512,LOMA MAR MUTUAL,C,D1,T3,SAN MATEO  ,SW
CA4100513,PESCADERO HIGH SCHOOL,NTNC,D1,T1,SAN MATEO  ,GW
CA4100515,MARTINS BEACH WATER SYSTEM,NC,D1,T2,SAN MATEO  ,SW
CA4100522,REDWOOD GLEN CAMP & CONFERENCE CTR,C,D1,T2,SAN MATEO  ,SW
CA4100523,BUTANO GIRL SCOUT CAMP,NC,D1,T2,SAN MATEO  ,SW
CA4100527,CSP - PORTOLA STATE PARK,NC,D1,T2,SAN MATEO  ,SW
CA4100529,CAMP LOMA MAR,C,D1,T2,SAN MATEO  ,SW
CA4100533,SKYLONDA MUTUAL,C,D1,T2,SAN MATEO  ,SW
CA4100536,SAN MATEO COUNTY MEMORIAL PARK,NC,D1,T2,SAN MATEO  ,SW
CA4100538,CAMP JONES GULCH,C,D1,T2,SAN MATEO  ,GW
CA4100539,KINGS MOUNTAIN PARK MUTUAL,C,D1,T2,SAN MATEO  ,SW
CA4100540,OKU INCORPORATED,C,D1,T2,SAN MATEO  ,GW
CA4100551,MARCHI CENTRAL FARM,C,D1,TD,SAN MATEO  ,GW
CA4100552,OPTIMISTS VOLUNTEERS FOR YOUTH,NC,NR,There are no treatment plants,SAN MATEO  ,GW
CA4100553,PIGEON POINT YOUTH HOSTEL,NC,D1,There are no treatment plants,SAN MATEO  ,GW
CA4100555,PORTOLA IMPROVEMENT ASSOCIATION,C,D1,T2,SAN MATEO  ,GW
CA4100559,LA HONDA CENTER,NC,D1,TD,SAN MATEO  ,GW
CA4100560,GAZOS CREEK BEACH HOUSE,NC,D1,T1,SAN MATEO  ,GW
CA4100566,SAN GREGORIO COMPANY,NC,D1,T1,SAN MATEO  ,GW
CA4100575,CSP - ANO NUEVO STATE PARK,NC,NR,T1,SAN MATEO  ,GW
CA4100582,COUNTY SERVICE AREA 11,C,D1,TD,SAN MATEO  ,GW
CA4100583,BIANCHI FLOWERS INC,C,D1,TD,SAN MATEO  ,GW
CA4100603,COSTANOA CAMPGROUND,NTNC,D1,T2,SAN MATEO  ,GW
CA4100605,SKYLAWN MEMORIAL PARK (SKYLAWN INC),NTNC,D1,TD,SAN MATEO  ,GW
CA4100607,HARLEY FARMS GOAT DAIRY,NC,NR,T1,SAN MATEO  ,GW
CA4110001,MID-PENINSULA WATER DISTRICT,C,D3,There are no treatment plants,SAN MATEO  ,SWP
CA4110002,CITY OF BRISBANE,C,D2,There are no treatment plants,SAN MATEO  ,SWP
CA4110003,CITY OF BURLINGAME,C,D3,There are no treatment plants,SAN MATEO  ,SWP
CA4110005,GUADALUPE VALLEY MID,C,D2,There are no treatment plants,SAN MATEO  ,SWP
CA4110006,CALIFORNIA WATER SERVICE - BEAR GULCH,C,D5,T3,SAN MATEO  ,SW
CA4110007,CALIFORNIA WATER SERVICE - SAN CARLOS,C,D3,There are no treatment plants,SAN MATEO  ,SWP
CA4110008,CALIFORNIA WATER SERVICE - SAN MATEO,C,D4,There are no treatment plants,SAN MATEO  ,SWP
CA4110009,CALIFORNIA WATER SERVICE-S SAN FRANCISCO,C,D5,T2,SAN MATEO  ,SWP
CA4110010,MONTARA WATER AND SANITARY DISTRICT,C,D2,T3,SAN MATEO  ,SW
CA4110011,COASTSIDE COUNTY WATER DISTRICT,C,D3,T3,SAN MATEO  ,SW
CA4110012,CUESTA LA HONDA GUILD INC,C,D1,T3,SAN MATEO  ,SW
CA4110013,CITY OF DALY CITY,C,D5,T3,SAN MATEO  ,SWP
CA4110016,TOWN OF HILLSBOROUGH,C,D3,There are no treatment plants,SAN MATEO  ,SWP
CA4110017,MENLO PARK MUNICIPAL WATER,C,D3,T1,SAN MATEO  ,SWP
CA4110018,CITY OF MILLBRAE,C,D3,There are no treatment plants,SAN MATEO  ,SWP
CA4110019,O'CONNOR TRACT CO-OPERATIVE WATER CO.,C,D2,There are no treatment plants,SAN MATEO  ,GW
CA4110020,PALO ALTO PARK MUTUAL WATER COMPANY,C,D2,T1,SAN MATEO  ,GW
CA4110021,ESTERO MUNICIPAL IMPROVEMENT DISTRICT,C,D3,There are no treatment plants,SAN MATEO  ,SWP
CA4110022,CITY OF REDWOOD CITY,C,D5,There are no treatment plants,SAN MATEO  ,SWP
CA4110023,CITY OF SAN BRUNO,C,D4,T2,SAN MATEO  ,SWP
CA4110024,CITY OF EAST PALO ALTO,C,D3,T2,SAN MATEO  ,SWP
CA4110025,NORTH COAST COUNTY WATER DIST,C,D4,There are no treatment plants,SAN MATEO  ,SWP
CA4110027,WESTBOROUGH WATER DISTRICT,C,D3,There are no treatment plants,SAN MATEO  ,SWP
CA4110029,BUTANO STATE PARK - CSP,NC,NR,T2,SAN MATEO  ,SW
CA4190001,CITY OF DALY CITY,NP,,There are no treatment plants,SAN MATEO  ,
CA4190003,CITY OF REDWOOD CITY,NP,,There are no treatment plants,SAN MATEO  ,
CA4190004,CITY OF PACIFICA RECYCLED,NP,,There are no treatment plants,SAN MATEO  ,
CA4190005,SEWER AUTHORITY MIDCOASTSIDE RECYCLED,NP,,There are no treatment plants,SAN MATEO  ,
CA4190006,SAN CARLOS RECYCLED WATER PROGRAM,NP,,There are no treatment plants,SAN MATEO  ,
CA4190007,CITY OF SAN MATEO RECYCLED WATER PROJECT,NP,,There are no treatment plants, ,
CA4190008,WEST BAY SANITARY DISTRICT - SHARON HEIG,NP,,There are no treatment plants, ,
CA4200505,CACHUMA VILLAGE,C,D1,TD,SANTA BARBARA  ,GW
CA4200514,CUYAMA MUTUAL WATER COMPANY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200531,RANCHO MARCELINO WATER,C,D2,T2,SANTA BARBARA  ,GW
CA4200539,RANCHO OSO,NC,D2,T2,SANTA BARBARA  ,GU
CA4200543,PARADISE CANYON IMPROVEMENT ASSOCIATION,NC,D1,TD,SANTA BARBARA  ,GW
CA4200556,FOSTER ROAD MUTUAL WATER COMPANY,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200560,SISQUOC,C,D1,T1,SANTA BARBARA  ,GW
CA4200562,CIRCLE BAR B GUEST RANCH,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200572,LAS POSITAS MUTUAL WATER COMPANY,C,D1,TD,SANTA BARBARA  ,GW
CA4200577,COLD SPRING TAVERN,NC,D2,T1,SANTA BARBARA  ,SW
CA4200578,PAINTED CAVE,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200579,ROSARIO PARK,C,D2,T1,SANTA BARBARA  ,GW
CA4200580,SAN MARCOS MUTUAL WATER COMPANY,C,D2,T1,SANTA BARBARA  ,GU
CA4200612,MEADOWLARK RANCHES MUTUAL WATER COMPANY,C,D1,TD,SANTA BARBARA  ,GW
CA4200616,SKYLINE PARK,C,D1,TD,SANTA BARBARA  ,GW
CA4200618,MIDLAND SCHOOL,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200619,SANTA YNEZ RANCHO ESTATES,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200626,FREMONT/SANTA YNEZ IMPROVEMENT ASSOC.,NC,D1,TD,SANTA BARBARA  ,GW
CA4200630,LOS PRIETOS BOY'S CAMP,NTNC,D1,TD,SANTA BARBARA  ,GW
CA4200631,LOS PRIETOS IMPROVEMENT ASSOCIATION,NC,D1,TD,SANTA BARBARA  ,GW
CA4200633,LINGATE MUTUAL WATER COMPANY,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200634,MORETON BAY PROFESSIONAL PLAZA,NTNC,D1,T2,SANTA BARBARA  ,GW
CA4200639,TIERRA DE ESPERANZA,NTNC,D1,TD,SANTA BARBARA  ,GW
CA4200644,SAN MARCOS CHRISTIAN CAMP,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200666,KINECTA FCU,NTNC,D1,T1,SANTA BARBARA  ,GW
CA4200678,SANTA ANITA MUTUAL WATER COMPANY,C,D1,TD,SANTA BARBARA  ,GW
CA4200691,PACIFIC OFFSHORE PIPELINE COMPANY,NTNC,D1,T1,SANTA BARBARA  ,GW
CA4200693,ELLWOOD MUTUAL WATER COMPANY,C,D1,T1,SANTA BARBARA  ,GW
CA4200702,VIEJA MUTUAL WATER COMPANY,C,D1,T1,SANTA BARBARA  ,GW
CA4200703,EL CAPITAN MUTUAL WATER COMPANY,C,D1,TD,SANTA BARBARA  ,GW
CA4200714,SAN AUGUSTINE MUTUAL WATER COMPANY,C,D1,TD,SANTA BARBARA  ,GW
CA4200717,SOUTH COAST INN,NC,D1,T1,SANTA BARBARA  ,GW
CA4200718,MAJESTIC TOWNSGATE WATER SYSTEM,NTNC,D1,T1,SANTA BARBARA  ,GW
CA4200721,NAPLES,C,D1,T2,SANTA BARBARA  ,SW
CA4200725,GAVIOTA OIL HEATING FACILITY,NTNC,D1,T2,SANTA BARBARA  ,SW
CA4200731,ALEGRIA DOMESTIC MUTUAL WATER COMPANY,C,D1,TD,SANTA BARBARA  ,GW
CA4200733,MONTECITO SEA MEADOWS,C,D1,T1,SANTA BARBARA  ,GW
CA4200741,PACIFICA SUITES,NC,D1,TD,SANTA BARBARA  ,GW
CA4200743,EXXON LAS FLORES CANYON,NTNC,D1,T1,SANTA BARBARA  ,GW
CA4200747,VISTA DE LAS CRUCES,NTNC,D1,T2,SANTA BARBARA  ,GW
CA4200800,EAST VALLEY FARMS MUTUAL WATER COMPANY,C,D1,T2,SANTA BARBARA  ,GW
CA4200802,OAK TRAIL RANCH,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200804,WALKING M RANCHES,C,D1,TD,SANTA BARBARA  ,GW
CA4200807,WOODSTOCK RANCH,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200814,JONATA HOMEOWNERS ASSOCIATION,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200818,CIRCLE V RANCH CAMP,NC,D1,T2,SANTA BARBARA  ,GU
CA4200822,SANTA RITA WATER,C,D1,TD,SANTA BARBARA  ,GW
CA4200824,NOJOQUI FALLS COUNTY PARK,NC,D1,TD,SANTA BARBARA  ,GW
CA4200826,RANCHO ALEGRE,NC,D1,T2,SANTA BARBARA  ,SW
CA4200827,SANTA YNEZ ROBLAR MOBILE HOME PARK,C,D1,T1,SANTA BARBARA  ,GW
CA4200830,ZACA LAKE RETREAT,NC,D1,T2,SANTA BARBARA  ,SW
CA4200832,SURE FRESH PRODUCE,NTNC,D1,T1,SANTA BARBARA  ,GW
CA4200833,BONITA SCHOOL,NTNC,D1,T2,SANTA BARBARA  ,GW
CA4200837,RANCHO YNECITA,C,D1,T2,SANTA BARBARA  ,GW
CA4200842,SAINT MARIE MOBILE HOME PARK,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200846,JALAMA BEACH PARK,NC,D1,TD,SANTA BARBARA  ,GW
CA4200848,VISTA HILLS MUTUAL WATER COMPANY,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200851,ROLLING HILLS MUTUAL WATER COMPANY,C,D1,TD,SANTA BARBARA  ,GW
CA4200854,"IMERYS FILTRATION MINERALS, INC",NTNC,D1,T2,SANTA BARBARA  ,GW
CA4200856,SAGEBRUSH ANNIE'S RESTAURANT,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200862,MESA HILLS MUTUAL WATER COMPANY,C,D1,T1,SANTA BARBARA  ,GW
CA4200865,RANCHO MARIA GOLF COURSE,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200866,FIRESTONE VINEYARD,NTNC,D1,TD,SANTA BARBARA  ,GW
CA4200867,RAY WATER COMPANY,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200870,CASMALIA COMMUNITY SERVICES DISTRICT,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200872,VENTUCOPA,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200876,VALLEY PACIFIC PETROLEUM SERVICES,NC,D1,T2,SANTA BARBARA  ,GW
CA4200877,BETTERAVIA GAS & MART,NC,NR,T1,SANTA BARBARA  ,GW
CA4200879,CUYAMA ELEMENTARY SCHOOL,NTNC,D1,T2,SANTA BARBARA  ,GW
CA4200881,OAK TRAIL ESTATES,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200882,ZACA MESA WINERY,NC,D1,T1,SANTA BARBARA  ,GW
CA4200885,CHALK HILL ESTATES HOA,C,D1,T1,SANTA BARBARA  ,GW
CA4200886,MOSBY WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200891,BOBCAT SPRINGS MUTUAL WATER COMPANY,C,D1,T1,SANTA BARBARA  ,GW
CA4200895,SHEPHERD OF THE VALLEY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200902,LA PURISIMA GOLF COURSE,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200905,FLOOD RANCH/RANCHO SISQUOC,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200907,HEALTH SANITATION SERVICES RECYCLING CTR,NTNC,D1,T2,SANTA BARBARA  ,GW
CA4200911,LAKE CACHUMA COUNTY PARK,NC,D1,T2,SANTA BARBARA  ,SW
CA4200915,SAN LORENZO SEMINARY,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200918,LOS PRIETOS COMPLEX,C,D1,TD,SANTA BARBARA  ,GW
CA4200919,THE BRIDGEHOUSE,NC,D1,T1,SANTA BARBARA  ,GW
CA4200924,EL RANCHO TAJIGUAS,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200925,SANTA BARBARA PISTACHIO COMPANY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200928,RUSACK VINEYARDS,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200930,CAMBRIA WINERY,NTNC,D1,T1,SANTA BARBARA  ,GW
CA4200931,ANDREW MURRAY VINEYARD,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200933,MELVILLE WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200934,LAFOND WINERY,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200936,KOEHLER WINERY,NC,D1,TD,SANTA BARBARA  ,GW
CA4200938,SANFORD WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200939,COTTON WOOD WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200941,BABCOCK WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200942,FOLEY ESTATES WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200943,TEIXEIRA FARMS - FRONTIER COOLING,NTNC,D1,TD,SANTA BARBARA  ,GW
CA4200944,THE RANCH CHURCH,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200947,BETTER COOLING PRODUCE,NTNC,D1,T1,SANTA BARBARA  ,GW
CA4200948,TRES HERMANAS WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200949,WHITE LOTUS,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200950,RIVERBENCH WINERY,NC,D1,T1,SANTA BARBARA  ,GW
CA4200951,DIERBERG/STAR LANE VINEYARD,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200952,FOXEN VINEYARD INC.,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200957,LO-FI WINERY,NC,D1,T2,SANTA BARBARA  ,GW
CA4200960,LIVE OAK CAMPGROUND,NC,D1,T2,SANTA BARBARA  ,GU
CA4200961,PACIFIC COAST ENERGY COMPANY,NTNC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200962,WINDSET FARMS GREENHOUSES,NTNC,D1,TD,SANTA BARBARA  ,GW
CA4200963,CHISAN ORCHIDS NURSERY,NTNC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200964,FLAG IS UP FARMS,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200965,FESS PARKER WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200967,VINCENT VINEYARDS,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200969,AAA KINDNESS CARE HOME,C,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200970,BRICK BARN ESTATE WINERY,NC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200971,PETROS WINERY,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200972,PEAKE RANCH,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200973,FOLDED HILLS WINERY,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200974,MAIN STREET PRODUCE,NTNC,D1,There are no treatment plants,SANTA BARBARA  ,GW
CA4200975,ELEVEN CONFESSIONS WINERY,NC,,There are no treatment plants,SANTA BARBARA  ,GW
CA4200976,THE HILT ESTATE,NC,D1,T1,SANTA BARBARA  ,GW
CA4200977,RESOURCE CENTER,NTNC,D1,T2,SANTA BARBARA  ,GW
CA4200978,PENCE VINEYARDS,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200979,BRANDER VINEYARD,NC,NR,There are no treatment plants,SANTA BARBARA  ,GW
CA4200981,GATEHOUSE TASTING ROOM AT BIEN NACIDO,NC,,There are no treatment plants,SANTA BARBARA  ,GW
CA4210001,CARPINTERIA VALLEY WATER DISTRICT,C,D3,T1,SANTA BARBARA  ,SWP
CA4210002,LOS ALAMOS COMMUNITY SERVICES DISTRICT,C,D2,T1,SANTA BARBARA  ,GW
CA4210003,GUADALUPE WATER DEPARTMENT,C,D2,T1,SANTA BARBARA  ,SWP
CA4210004,GOLETA WATER DISTRICT,C,D5,T5,SANTA BARBARA  ,SW
CA4210005,SAN VICENTE WATER COMPANY,C,D1,T1,SANTA BARBARA  ,GW
CA4210006,LOMPOC-CITY WATER UTILITY DIV,C,D3,T3,SANTA BARBARA  ,SW
CA4210007,MONTECITO WATER DIST,C,D4,T4,SANTA BARBARA  ,SW
CA4210009,CUYAMA COMMUNITY SERVICES DISTRICT,C,D1,T2,SANTA BARBARA  ,GW
CA4210010,CITY OF SANTA BARBARA WATER DEPARTMENT,C,D5,T5,SANTA BARBARA  ,SW
CA4210011,SANTA MARIA WATER DEPARTMENT,C,D4,T3,SANTA BARBARA  ,SWP
CA4210013,SOLVANG WATER DIVISION,C,D2,TD,SANTA BARBARA  ,SWP
CA4210016,GOLDEN STATE WATER COMPANY - ORCUTT,C,D3,T2,SANTA BARBARA  ,SWP
CA4210017,VANDENBERG VILLAGE COMM. SERV. DIST.,C,D2,T1,SANTA BARBARA  ,GW
CA4210018,BUELLTON WATER DEPARTMENT,C,D2,T1,SANTA BARBARA  ,SWP
CA4210019,MISSION HILLS CSD,C,D2,T1,SANTA BARBARA  ,GW
CA4210020,SANTA YNEZ RIVER WATER CONS. DIST. ID#1,C,D2,TD,SANTA BARBARA  ,SWP
CA4210021,GOLDEN STATE WATER COMPANY - TANGLEWOOD,C,D2,TD,SANTA BARBARA  ,SWP
CA4210022,GOLDEN STATE WATER COMPANY - LAKE MARIE,C,D1,TD,SANTA BARBARA  ,GW
CA4210024,LA CUMBRE MUTUAL WATER CO,C,D3,T1,SANTA BARBARA  ,SWP
CA4210028,CACHUMA PROJECT,C,D3,There are no treatment plants,SANTA BARBARA  ,SWP
CA4210030,CENTRAL COAST WATER AUTHORITY,C,D5,T5,SANTA BARBARA  ,SW
CA4210303,REFUGIO STATE BEACH,NC,NR,T2,SANTA BARBARA  ,GW
CA4210304,EL CAPITAN BEACH STATE PARK,NC,NR,T2,SANTA BARBARA  ,GW
CA4210305,LAS CRUCES STATE PARK,NC,NR,T2,SANTA BARBARA  ,GU
CA4210700,"AMERICAN WATER O&M, LLC - VSFB",C,D4,T2,SANTA BARBARA  ,SWP
CA4210900,CAL TRANS - GAVIOTA RSR,NC,NR,There are no treatment plants,SANTA BARBARA  ,SWP
CA4290001,GOLETA SANITATION DISTRICT - RW,NP,,There are no treatment plants,SANTA BARBARA  ,
CA4290002,CITY OF SANTA BARBARA RECYCLED WATER DIV,NP,,There are no treatment plants,SANTA BARBARA  ,
CA4290003,LAGUNA SANITATION DISTRICT,NP,,There are no treatment plants,SANTA BARBARA  ,
CA4290004,CATE SCHOOL  - RW,NP,,There are no treatment plants,SANTA BARBARA  ,
CA4290005,CHUMASH CASINO RESORT - RW,NP,,There are no treatment plants,SANTA BARBARA  ,
CA4290006,CITY OF CARPINTERIA RECYCLED WATER,NP,,There are no treatment plants,SANTA BARBARA  ,
CA4300516,ALDERCROFT HEIGHTS COUNTY WATER DISTRICT,C,D1,T2,SANTA CLARA  ,SW
CA4300517,CHEMEKETA PARK MUTUAL WATER COMPANY,C,D1,T2,SANTA CLARA  ,SW
CA4300520,RAINERI MUTUAL WATER COMPANY,C,D1,T2,SANTA CLARA  ,SW
CA4300521,KENNON WATER COMPANY,C,D1,There are no treatment plants,SANTA CLARA  ,SWP
CA4300522,LAKE CANYON MUTUAL WATER COMPANY,C,D1,T2,SANTA CLARA  ,SW
CA4300525,MELODY WOODS WATER COMPANY,C,D1,T1,SANTA CLARA  ,GW
CA4300526,OAKMONT WATER SYSTEM,C,D1,There are no treatment plants,SANTA CLARA  ,SWP
CA4300542,SAN MARTIN COUNTY WATER DISTRICT,C,D1,T1,SANTA CLARA  ,GW
CA4300543,WEST SAN MARTIN WATER WORKS INC,C,D2,TD,SANTA CLARA  ,GW
CA4300545,SARATOGA HEIGHTS MUTUAL WATER COMPANY,C,D1,There are no treatment plants,SANTA CLARA  ,SWP
CA4300546,SIERRA ROAD IMPROVEMENT ASSOCIATION INC,C,D1,There are no treatment plants,SANTA CLARA  ,SWP
CA4300550,VISTA GRANDE WATER USERS ASSOCIATION,C,D1,There are no treatment plants,SANTA CLARA  ,SWP
CA4300551,HAPPY ACRES MWC,C,D1,TD,SANTA CLARA  ,GW
CA4300560,GREEN MOUNTAIN WATER COMPANY,C,D1,TD,SANTA CLARA  ,GW
CA4300562,ROSEVIEW HEIGHTS MUTUAL WATER COMPANY,C,D1,There are no treatment plants,SANTA CLARA  ,SWP
CA4300563,MT. PLEASANT WATER USERS ASSOCIATION,C,D1,There are no treatment plants,SANTA CLARA  ,SWP
CA4300567,BURCHELL ROAD WATER ASSOCIATION,C,D1,TD,SANTA CLARA  ,GW
CA4300571,SULLIVAN MUTUAL WATER,C,D1,TD,SANTA CLARA  ,GW
CA4300573,GREEN ACRES MUTUAL WATER,C,D1,T2,SANTA CLARA  ,GW
CA4300575,TWIN VALLEY INC,C,D1,There are no treatment plants,SANTA CLARA  ,GW
CA4300577,RANCHO ROBLES MUTUAL WATER COMPANY,C,D1,TD,SANTA CLARA  ,GW
CA4300578,ANGELO LANE WATER COMPANY,C,D1,There are no treatment plants,SANTA CLARA  ,GW
CA4300593,MORGAN HILL USD-MACHADO SCHOOL,NTNC,D1,TD,SANTA CLARA  ,GW
CA4300596,COYOTE CREEK GOLF CLUB,NTNC,D1,TD,SANTA CLARA  ,GW
CA4300602,ECONOMY INN,NC,NR,T1,SANTA CLARA  ,GW
CA4300603,OAK DELL PARK,C,D1,T2,SANTA CLARA  ,GW
CA4300605,GILROY USD-RUCKER SCHOOL,NTNC,D1,TD,SANTA CLARA  ,GW
CA4300608,GAVILAN JOINT COMMUNITY COLLEGE DISTRICT,NTNC,D2,TD,SANTA CLARA  ,GW
CA4300610,ANCHORPOINT CHRISTIAN SCHOOL,NTNC,D1,T1,SANTA CLARA  ,GW
CA4300611,CASA DE FRUTA WATER SYSTEM,C,D1,T1,SANTA CLARA  ,GW
CA4300612,MT. MADONNA COUNTY PARK,NC,NR,There are no treatment plants,SANTA CLARA  ,GW
CA4300614,SVEADAL WATER SYSTEM,NC,NR,TD,SANTA CLARA  ,GW
CA4300615,THOUSAND TRAILS - MORGAN HILL,C,D1,TD,SANTA CLARA  ,GW
CA4300616,UVAS CANYON COUNTY PARK,NC,D1,TD,SANTA CLARA  ,GW
CA4300630,FOOTHILL MUTUAL WATER COMPANY,C,D1,TD,SANTA CLARA  ,GW
CA4300637,LOS RANCHOS DE UVAS WATER COMPANY,C,D1,T1,SANTA CLARA  ,GW
CA4300638,SAN MARTIN FOOTHILLS WATER COMPANY,C,D1,There are no treatment plants,SANTA CLARA  ,GW
CA4300716,LUPIN LODGE,C,D1,T2,SANTA CLARA  ,SW
CA4300721,LOMA PRIETA JUSD-LOMA PRIETA SCHOOL,NTNC,D1,Operator is not required,SANTA CLARA  ,GW
CA4300737,JOSEPH GRANT COUNTY PARK,NC,D1,TD,SANTA CLARA  ,GW
CA4300740,MOUNTAIN SPRINGS MUTUAL WATER COMPANY,C,D1,T1,SANTA CLARA  ,SWP
CA4300741,MIREVAL IMPROVEMENT ASSOCIATION,C,D1,There are no treatment plants,SANTA CLARA  ,SWP
CA4300748,THE JUNCTION WATER SYSTEM,NC,NR,There are no treatment plants,SANTA CLARA  ,GW
CA4300760,SANTA TERESA MEADOWS WATER COMPANY,C,D1,TD,SANTA CLARA  ,GW
CA4300763,SANBORN-SKYLINE COUNTY PARK,NC,NR,T1,SANTA CLARA  ,GW
